Time taken to solve:	166.845 minutes
Required Solution trajectory

Node # 	 X 	 Y
82510 	 305.000 	 205.000
82912 	 306.000 	 206.000
83314 	 307.000 	 207.000
83716 	 308.000 	 208.000
84118 	 309.000 	 209.000
84520 	 310.000 	 210.000
84922 	 311.000 	 211.000
85324 	 312.000 	 212.000
85726 	 313.000 	 213.000
86128 	 314.000 	 214.000
86530 	 315.000 	 215.000
86932 	 316.000 	 216.000
87334 	 317.000 	 217.000
87736 	 318.000 	 218.000
88138 	 319.000 	 219.000
88540 	 320.000 	 220.000
88942 	 321.000 	 221.000
89344 	 322.000 	 222.000
89746 	 323.000 	 223.000
90148 	 324.000 	 224.000
90550 	 325.000 	 225.000
90952 	 326.000 	 226.000
91354 	 327.000 	 227.000
91756 	 328.000 	 228.000
92158 	 329.000 	 229.000
92560 	 330.000 	 230.000
92962 	 331.000 	 231.000
93364 	 332.000 	 232.000
93766 	 333.000 	 233.000
94168 	 334.000 	 234.000
94570 	 335.000 	 235.000
94972 	 336.000 	 236.000
95374 	 337.000 	 237.000
95776 	 338.000 	 238.000
96178 	 339.000 	 239.000
96580 	 340.000 	 240.000
96982 	 341.000 	 241.000
97384 	 342.000 	 242.000
97786 	 343.000 	 243.000
98188 	 344.000 	 244.000
98590 	 345.000 	 245.000
98992 	 346.000 	 246.000
99394 	 347.000 	 247.000
99796 	 348.000 	 248.000
100198 	 349.000 	 249.000
100600 	 350.000 	 250.000
101002 	 351.000 	 251.000
101404 	 352.000 	 252.000
101806 	 353.000 	 253.000
102208 	 354.000 	 254.000
102610 	 355.000 	 255.000
103012 	 356.000 	 256.000
103414 	 357.000 	 257.000
103816 	 358.000 	 258.000
104218 	 359.000 	 259.000
104620 	 360.000 	 260.000
105022 	 361.000 	 261.000
105424 	 362.000 	 262.000
105826 	 363.000 	 263.000
106228 	 364.000 	 264.000
106630 	 365.000 	 265.000
107032 	 366.000 	 266.000
107434 	 367.000 	 267.000
107836 	 368.000 	 268.000
108238 	 369.000 	 269.000
108640 	 370.000 	 270.000
109042 	 371.000 	 271.000
109444 	 372.000 	 272.000
109846 	 373.000 	 273.000
110248 	 374.000 	 274.000
110650 	 375.000 	 275.000
111052 	 376.000 	 276.000
111454 	 377.000 	 277.000
111856 	 378.000 	 278.000
112258 	 379.000 	 279.000
112660 	 380.000 	 280.000
113062 	 381.000 	 281.000
113464 	 382.000 	 282.000
113866 	 383.000 	 283.000
114268 	 384.000 	 284.000
114670 	 385.000 	 285.000
115072 	 386.000 	 286.000
115474 	 387.000 	 287.000
115876 	 388.000 	 288.000
116278 	 389.000 	 289.000
116680 	 390.000 	 290.000
117082 	 391.000 	 291.000
117484 	 392.000 	 292.000
117886 	 393.000 	 293.000
118288 	 394.000 	 294.000
118690 	 395.000 	 295.000
119092 	 396.000 	 296.000
119494 	 397.000 	 297.000
119896 	 398.000 	 298.000
120298 	 399.000 	 299.000
120700 	 400.000 	 300.000
